timestamp,session_id,activity,left_ear,right_ear,average_ear
11.314,paper_001,paper_study,0.06471,0.1233,0.094
11.348,paper_001,paper_study,0.06112,0.12822,0.09467
11.38,paper_001,paper_study,0.06206,0.12876,0.09541
11.414,paper_001,paper_study,0.06707,0.13452,0.1008
11.447,paper_001,paper_study,0.06838,0.13488,0.10163
11.481,paper_001,paper_study,0.07028,0.14134,0.10581
11.514,paper_001,paper_study,0.07113,0.13788,0.10451
11.547,paper_001,paper_study,0.07312,0.14154,0.10733
11.581,paper_001,paper_study,0.07583,0.13517,0.1055
11.614,paper_001,paper_study,0.07655,0.144,0.11027
11.648,paper_001,paper_study,0.07496,0.14054,0.10775
11.681,paper_001,paper_study,0.07281,0.13836,0.10559
11.715,paper_001,paper_study,0.07429,0.13549,0.10489
11.747,paper_001,paper_study,0.0666,0.14663,0.10661
11.781,paper_001,paper_study,0.06579,0.14778,0.10678
11.815,paper_001,paper_study,0.06313,0.14944,0.10629
11.847,paper_001,paper_study,0.06876,0.14898,0.10887
11.881,paper_001,paper_study,0.06636,0.14146,0.10391
11.915,paper_001,paper_study,0.06839,0.13553,0.10196
11.948,paper_001,paper_study,0.06721,0.1421,0.10466
11.981,paper_001,paper_study,0.0648,0.13711,0.10096
12.014,paper_001,paper_study,0.06586,0.13613,0.10099
12.048,paper_001,paper_study,0.07087,0.12538,0.09813
12.081,paper_001,paper_study,0.07352,0.13437,0.10394
12.115,paper_001,paper_study,0.0753,0.13562,0.10546
12.148,paper_001,paper_study,0.07262,0.14509,0.10885
12.181,paper_001,paper_study,0.07469,0.14067,0.10768
12.216,paper_001,paper_study,0.07088,0.13201,0.10144
12.249,paper_001,paper_study,0.07053,0.12474,0.09764
12.282,paper_001,paper_study,0.06685,0.12606,0.09645
12.315,paper_001,paper_study,0.07016,0.12727,0.09872
12.348,paper_001,paper_study,0.06966,0.16807,0.11886
12.381,paper_001,paper_study,0.06833,0.15092,0.10963
12.414,paper_001,paper_study,0.0638,0.14952,0.10666
12.448,paper_001,paper_study,0.06516,0.14534,0.10525
12.481,paper_001,paper_study,0.06525,0.13635,0.1008
12.515,paper_001,paper_study,0.06861,0.13777,0.10319
12.548,paper_001,paper_study,0.069,0.13901,0.10401
